Estação,Nome da Rede,Sigla da rede,Ano,Lat,Long,Alt,Localidade,Estado,Sensor,Tipo BB SP,S/N Sensor,DAS,S/N DAS,SPS,Ganho,Data Início Greg,Data Fim Greg,Data Inicio Jul,Data Fim Jul,Observações,Ativa
NBLP,RSISNE,NB,2023,"-11,414837","-41,758733",813,Lapão,BA,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A,BB,G09118,REF TEK 130-GSN,ACA7,100,1,20230321,20230622,2023080,2023173,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 7926. Painel solar:S/N ????,Não
NBLP,RSISNE,NB,2023,"-11,414837","-41,758733",813,Lapão,BA,Sismômetro Broadband Tri-axial Trillium Compact 120s ASM16783R6 754 V/m/,BB,1260,REF TEK 130-GSN,ACA7,100,1,20230622,,2023173,#VALUE!,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 7926. Painel solar:S/N ????,Sim
NBLV,RSISNE,NB,2015,"-7,357693","-36,921745",602,"Faz, Livramento",PB,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09212 e 345,REF TEK 130-GSN,ACA9,100,1 e 1,20150609,20190318,2015160,2019077,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8206. Painel solar:098AP0129 NE-80EJEA,Não
NBLV,RSISNE,NB,2015,"-7,357693","-36,921745",602,"Faz, Livramento",PB,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A,BB,G09212,REF TEK 130,A037,100,1,20200708,20210202,2020190,2021033,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8206. Painel solar:098AP0129 NE-80EJEA,Não
NBLV,RSISNE,NB,2015,"-7,357693","-36,921745",602,"Faz, Livramento",PB,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09212 e 345,REF TEK 130-GSN,ACAF,100,1 e 1,20210202,,2021033,#VALUE!,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8206. Painel solar:098AP0129 NE-80EJEA,Sim
NBMA,RSISNE,NB,2011,"-7,365352","-38,764058",445,"Faz, Mauriti",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G099173 e 332,REF TEK 130-GSN,ACA8,100,32 e 1,20110706,20111215,2011187,2011349,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8200. Painel solar: S/N 1999   KYOCERA MOD  KC50T ,Não
NBMA,RSISNE,NB,2011,"-7,365352","-38,764058",445,"Faz, Mauriti",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G099173 e 332,REF TEK 130-GSN,AD3B,100,32 e 1,20111215,20130404,2011349,2013094,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8200. Painel solar: S/N 1999   KYOCERA MOD  KC50T ,Não
NBMA,RSISNE,NB,2011,"-7,365352","-38,764058",445,"Faz, Mauriti",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G099173 e 332,REF TEK 130-GSN,AD3B,100,1 e 1,20130404,,2013094,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8200. Painel solar: S/N 1999   KYOCERA MOD  KC50T ,Sim
NBMO,RSISNE,NB,2011,"-3,310348","-40,042927",79,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A,BB,G09205,REF TEK 130-GSN,ACF5,100,32,20101227,20110426,2010361,2011116,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T ,Não
NBMO,RSISNE,NB,2011,"-3,310348","-40,042927",79,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09205 e 349,REF TEK 130-GSN,ACF5,100,32 e 32,20110426,20110427,2011116,2011117,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T ,Não
NBMO,RSISNE,NB,2011,"-3,310348","-40,042927",79,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09205 e 349,REF TEK 130-GSN,ACF5,100,32 e 1,20110427,20130402,2011117,2013092,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T ,Não
NBMO,RSISNE,NB,2011,"-3,310348","-40,042927",79,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09205 e 349,REF TEK 130-GSN,ACF5,100,1 e 1,20130402,20171018,2013092,2017291,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T ,Não
NBMO,RSISNE,NB,2011,"-3,3103","-40,0429",110,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09205 e 349,REF TEK 130-GSN,ACF5,100,1 e 1,20171018,20190115,2017291,2019015,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T . Mudança de endereço.,Não
NBMO,RSISNE,NB,2011,"-3,31032","-40,043",108,"Sitio Alegre, Morrinhos",CE,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09205 e 349,REF TEK 130-GSN,ACF5,100,1 e 1,20190115,,2019015,#VALUE!,Antena de GPS: REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8243. Painel solar: S/N 2003     KYOCERA MODELO KC50T . Mudança de endereço.,Sim
NBPA,RSISNE,NB,2011,"-5,75028","-37,112047",95,"Fazenda São Miguel, Paraú",RN,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09185 e 335,REF TEK 130-GSN,ACED,100,32 e 32,20110412,20110701,2011102,2011182,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8201 e Painel solar:S/N 2042 Fabricante:  KYOCERA   MOD  KC50T,Não
NBPA,RSISNE,NB,2011,"-5,75028","-37,112047",95,"Fazenda São Miguel, Paraú",RN,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09185 e 335,REF TEK 130-GSN,ACED,100,32 e 1,20110701,20130401,2011182,2013091,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8201 e Painel solar:S/N 2042 Fabricante:  KYOCERA   MOD  KC50T,Não
NBPA,RSISNE,NB,2011,"-5,75028","-37,112047",95,"Fazenda São Miguel, Paraú",RN,Sismômetro Broadband Tri-axial REF TEK VS -  151-120 A e Acelerômetro Tri-axial REF TEK 131 A 02/3,BB e Acel,G09185 e 335,REF TEK 130-GSN,ACED,100,1 e 1,20130401,20170719,2013091,2017200,Antena de GPS:REF TEK Garmin 130 GPS/02 GPS 16x-HVS CAN 310 S/N 8201 e Painel solar:S/N 2042 Fabricante:  KYOCERA   MOD  KC50T,Não
